student_id,age,gender,major,academic_level,semester,previous_gpa,cumulative_gpa,failed_courses,completed_credits,withdrawn_courses,attendance_rate,absence_count,late_count,midterm_average,quiz_average,assignment_average,project_average,completed_assignments,late_assignments,lms_login_count,lms_active_days,learning_time_hours,gpa_trend,performance_trend,final_gpa,at_risk
10008,24,M,Management,Bachelor,4,12.02,11.7,0,72,0,86.26,5,3,10.14,8.62,10.28,11.98,4,3,27,18,10.35,0.22,-0.198,13.79,0
10009,23,F,Industrial Engineering,Bachelor,1,13.69,13.69,0,13,0,86.94,3,0,11.81,10.64,13.56,12.46,4,1,22,26,30.96,0.0,-0.205,13.69,0
10009,23,F,Industrial Engineering,Bachelor,2,13.69,13.69,0,36,0,86.93,3,2,10.88,6.53,12.47,11.68,8,3,33,22,24.74,-0.13,-0.367,14.86,0
10009,24,F,Industrial Engineering,Bachelor,3,14.86,14.08,1,50,0,89.98,1,0,12.13,7.21,12.37,13.11,7,1,28,19,28.43,0.56,-0.351,15.09,0
10009,24,F,Industrial Engineering,Bachelor,4,15.09,14.33,0,69,0,85.27,4,2,10.44,10.39,13.64,12.51,5,2,30,21,21.92,0.71,-0.373,12.45,0
10010,21,F,Computer Science,Bachelor,1,12.52,12.52,1,20,0,88.86,3,2,11.11,8.23,11.02,10.12,6,4,24,21,28.12,0.18,-0.223,12.54,0
10010,21,F,Computer Science,Bachelor,2,12.54,12.53,0,33,0,78.44,6,2,9.17,7.82,11.51,11.79,6,2,21,18,18.72,-0.2,-0.277,13.05,0
10010,22,F,Computer Science,Bachelor,3,13.05,12.7,0,55,0,84.6,3,1,10.79,10.73,10.86,11.13,8,0,43,26,19.25,0.31,-0.246,13.08,0
10010,22,F,Computer Science,Bachelor,4,13.08,12.8,0,68,0,86.72,4,1,8.0,9.41,9.59,9.74,10,1,34,21,31.64,-0.25,-0.471,12.61,0
10011,25,M,Industrial Engineering,Bachelor,1,12.16,12.16,0,21,0,95.72,1,3,6.81,5.73,7.92,7.29,5,1,22,15,14.6,0.61,-0.574,10.51,1
10011,25,M,Industrial Engineering,Bachelor,2,10.51,11.34,1,35,0,90.06,4,2,7.01,5.0,6.43,6.28,7,2,12,16,19.72,-0.3,-0.373,10.72,1
10011,26,M,Industrial Engineering,Bachelor,3,10.72,11.13,0,56,0,81.12,8,1,8.28,5.85,7.85,7.07,4,3,30,21,23.82,-0.76,-0.367,10.58,1
10011,26,M,Industrial Engineering,Bachelor,4,10.58,10.99,3,66,1,73.47,7,4,5.22,5.0,7.91,7.56,7,3,11,13,27.02,0.13,-0.42,10.42,1
10012,25,F,Management,Bachelor,1,17.24,17.24,1,14,0,100.0,0,2,17.3,14.55,16.32,15.49,10,0,26,23,43.24,0.4,-0.096,17.53,0
10012,25,F,Management,Bachelor,2,17.53,17.38,0,29,0,88.01,2,1,15.64,12.69,16.71,15.67,9,1,37,29,44.47,-0.4,-0.173,16.4,0
10012,26,F,Management,Bachelor,3,16.4,17.06,0,51,1,99.89,0,2,13.65,12.15,14.33,14.67,5,1,30,24,34.02,-0.61,-0.298,13.77,0
10012,26,F,Management,Bachelor,4,13.77,16.23,2,59,1,82.79,3,1,11.19,11.03,11.14,12.29,8,1,28,23,39.86,-2.5,-0.183,14.15,0
10013,21,F,Computer Science,Bachelor,1,13.45,13.45,0,16,0,63.11,7,5,9.58,9.37,9.9,9.13,10,2,17,9,25.54,0.17,-0.392,14.34,0
10013,21,F,Computer Science,Bachelor,2,14.34,13.9,3,30,0,62.87,12,4,8.91,5.93,10.0,9.25,10,3,8,9,12.16,0.49,-0.635,12.25,0
10013,22,F,Computer Science,Bachelor,3,12.25,13.35,1,50,0,71.23,8,4,5.4,5.0,6.01,8.49,4,2,10,13,9.55,-1.61,-0.672,9.7,1
10013,22,F,Computer Science,Bachelor,4,9.7,12.44,3,71,1,76.22,6,4,7.41,5.0,6.01,7.14,8,2,9,12,22.83,-3.23,-0.317,10.33,1
10014,22,F,Industrial Engineering,Bachelor,1,14.17,14.17,0,14,0,90.2,1,3,11.54,9.75,14.25,12.76,4,1,24,19,22.58,-0.71,-0.246,13.58,0
10014,22,F,Industrial Engineering,Bachelor,2,13.58,13.87,2,36,1,95.57,3,3,10.05,8.27,11.09,12.09,7,1,16,20,37.83,-0.37,-0.321,12.51,0
10014,23,F,Industrial Engineering,Bachelor,3,12.51,13.42,0,56,1,89.81,5,1,9.76,10.12,8.41,10.58,10,4,26,15,16.18,-1.07,-0.325,13.71,0
10014,23,F,Industrial Engineering,Bachelor,4,13.71,13.49,2,68,1,80.7,6,3,11.42,8.97,10.72,11.81,9,2,15,14,14.91,0.14,-0.312,10.69,1
10015,24,M,Industrial Engineering,Bachelor,1,13.06,13.06,0,12,0,82.1,5,2,9.86,6.87,12.67,12.37,6,2,28,18,21.9,0.27,-0.284,13.37,0
10015,24,M,Industrial Engineering,Bachelor,2,13.37,13.21,0,36,0,85.16,6,3,9.41,6.8,9.19,10.98,10,1,23,22,30.1,0.56,-0.504,11.46,1
10015,25,M,Industrial Engineering,Bachelor,3,11.46,12.63,0,55,0,87.87,5,3,11.17,9.55,12.88,13.01,8,4,26,16,23.06,-0.8,-0.024,12.36,0
10015,25,M,Industrial Engineering,Bachelor,4,12.36,12.56,2,67,2,86.9,3,2,10.17,5.0,11.24,10.74,6,1,29,19,32.44,-0.25,-0.262,12.02,0
10016,25,M,Information Technology,Bachelor,1,14.08,14.08,0,16,0,79.81,4,3,9.7,8.23,12.97,10.53,5,2,29,19,19.01,0.2,-0.353,12.88,0
10016,25,M,Information Technology,Bachelor,2,12.88,13.48,3,31,0,86.0,4,0,8.46,7.07,8.78,9.26,9,0,27,21,17.93,-0.48,-0.453,11.45,1
10016,26,M,Information Technology,Bachelor,3,11.45,12.8,0,51,0,86.61,4,2,8.22,6.12,12.66,9.88,8,5,20,20,33.25,-1.67,-0.22,11.99,1
10016,26,M,Information Technology,Bachelor,4,11.99,12.6,1,67,1,87.9,5,3,11.37,10.26,11.07,11.71,5,2,17,14,20.71,-0.75,-0.074,13.64,0
10017,24,F,Information Technology,Bachelor,1,15.51,15.51,1,14,0,84.26,4,2,13.51,12.74,14.13,14.13,9,2,24,18,23.51,0.09,-0.187,12.86,0
10017,24,F,Information Technology,Bachelor,2,12.86,14.18,0,33,0,83.46,3,3,8.45,5.88,11.95,10.27,8,1,23,15,26.21,-1.07,-0.376,11.98,1
10017,25,F,Information Technology,Bachelor,3,11.98,13.45,0,55,0,82.09,5,2,7.55,6.4,8.98,8.09,5,0,21,17,17.24,-1.24,-0.431,11.79,1
10017,25,F,Information Technology,Bachelor,4,11.79,13.03,1,66,1,90.32,2,3,7.31,5.01,9.83,10.84,9,3,32,19,23.83,-0.86,-0.423,9.52,1
10018,24,M,Accounting,Bachelor,1,12.99,12.99,0,19,1,80.64,4,2,7.55,5.46,9.6,9.36,10,1,20,20,27.26,0.41,-0.479,13.17,0
10018,24,M,Accounting,Bachelor,2,13.17,13.08,2,32,0,91.23,3,3,9.53,5.1,10.86,9.75,4,1,29,24,28.34,0.49,-0.455,14.19,0
10018,25,M,Accounting,Bachelor,3,14.19,13.45,0,54,0,81.67,7,2,11.26,10.98,10.32,11.38,7,1,20,17,21.62,0.75,-0.312,12.6,0
10018,25,M,Accounting,Bachelor,4,12.6,13.24,1,67,0,83.32,2,2,7.92,5.0,11.5,10.54,7,2,17,14,12.28,-0.69,-0.448,9.66,1
10019,22,M,Management,Bachelor,1,13.04,13.04,2,15,0,75.21,6,4,8.1,9.56,9.26,12.17,8,3,22,21,25.11,-0.36,-0.424,11.33,1
10019,22,M,Management,Bachelor,2,11.33,12.19,0,29,0,92.96,2,3,9.07,8.75,9.0,7.06,4,2,17,17,23.38,-0.98,-0.311,11.75,1
10019,23,M,Management,Bachelor,3,11.75,12.04,1,50,0,81.61,5,3,9.59,8.14,10.44,11.2,7,1,15,15,14.06,-0.95,-0.251,12.41,0
10019,23,M,Management,Bachelor,4,12.41,12.13,0,69,0,91.86,2,3,9.22,5.0,9.66,8.71,6,2,19,14,10.69,0.28,-0.382,11.51,1
10020,19,M,Computer Science,Bachelor,1,15.68,15.68,0,14,1,100.0,0,0,12.63,6.84,14.32,15.04,7,1,27,26,29.12,-0.08,-0.377,13.3,0
10020,19,M,Computer Science,Bachelor,2,13.3,14.49,1,33,0,89.11,1,2,10.48,8.81,13.31,11.46,8,2,38,27,32.06,-1.96,-0.206,12.39,0
10020,20,M,Computer Science,Bachelor,3,12.39,13.79,0,49,2,89.67,4,2,12.46,12.18,12.15,9.52,9,2,21,17,25.95,-0.88,-0.069,13.74,0
10020,20,M,Computer Science,Bachelor,4,13.74,13.78,0,74,0,85.18,4,2,10.97,10.6,12.56,13.24,10,2,28,23,28.42,0.39,-0.197,14.09,0
10021,24,M,Accounting,Bachelor,1,12.32,12.32,1,15,0,62.28,10,3,8.75,8.32,9.73,9.83,7,2,8,12,9.57,0.53,-0.34,11.02,1
10021,24,M,Accounting,Bachelor,2,11.02,11.67,1,31,0,82.69,5,2,5.3,5.0,7.1,6.52,10,3,19,14,18.55,-0.32,-0.528,10.67,1
10021,25,M,Accounting,Bachelor,3,10.67,11.33,0,45,0,88.62,4,3,7.49,8.07,8.05,9.01,4,3,19,17,13.08,-0.13,-0.257,15.02,0
10021,25,M,Accounting,Bachelor,4,15.02,12.26,0,70,0,80.24,5,2,10.24,6.19,14.08,13.33,7,2,27,20,30.49,3.0,-0.431,13.58,0
10022,22,M,Accounting,Bachelor,1,15.61,15.61,1,16,0,90.27,2,1,11.9,9.3,11.65,11.95,4,3,20,23,35.64,-0.2,-0.412,13.44,0
10022,22,M,Accounting,Bachelor,2,13.44,14.53,1,36,1,93.4,3,0,12.5,9.82,13.49,11.96,10,0,32,28,46.25,-1.05,-0.15,12.55,0
10022,23,M,Accounting,Bachelor,3,12.55,13.87,0,55,1,91.38,1,3,10.61,8.23,12.38,11.6,5,3,27,21,26.99,-0.9,-0.209,13.3,0
10022,23,M,Accounting,Bachelor,4,13.3,13.72,0,70,0,99.4,1,1,11.21,9.92,10.95,11.63,9,2,20,16,20.21,-0.07,-0.298,13.23,0
10023,22,F,Computer Science,Bachelor,1,16.49,16.49,0,15,1,92.59,2,3,11.74,8.77,14.63,15.55,6,3,20,21,12.42,-0.54,-0.42,14.64,0
10023,22,F,Computer Science,Bachelor,2,14.64,15.56,1,33,0,89.06,2,3,10.87,8.04,12.01,13.56,8,1,29,19,39.41,-0.85,-0.327,12.17,0
10023,23,F,Computer Science,Bachelor,3,12.17,14.43,0,62,0,80.85,5,1,9.51,7.14,10.51,11.21,10,0,18,18,25.99,-2.09,-0.258,13.37,0
10023,23,F,Computer Science,Bachelor,4,13.37,14.17,0,73,0,95.86,2,1,13.12,10.31,13.65,12.78,5,1,16,13,19.74,-0.94,-0.014,13.93,0
10024,20,M,Management,Bachelor,1,12.24,12.24,1,11,2,86.04,5,3,5.0,5.0,7.57,8.5,7,2,20,18,32.14,0.23,-0.658,11.58,1
10024,20,M,Management,Bachelor,2,11.58,11.91,3,27,0,70.55,9,3,5.9,5.0,7.88,5.15,10,2,18,14,10.15,-0.73,-0.582,8.6,1
10024,21,M,Management,Bachelor,3,8.6,10.81,0,54,1,80.55,5,1,5.0,5.0,5.0,6.48,6,2,10,14,18.12,-2.23,-0.295,11.15,1
10024,21,M,Management,Bachelor,4,11.15,10.89,3,64,0,73.05,8,3,5.0,5.0,5.3,9.24,6,2,14,14,14.66,0.1,-0.6,10.23,1
10025,24,F,Computer Science,Bachelor,1,15.84,15.84,3,8,1,82.11,6,2,8.57,5.0,12.97,10.63,4,2,26,19,21.39,-0.34,-0.655,9.86,1
10025,24,F,Computer Science,Bachelor,2,9.86,12.85,3,31,0,77.75,8,1,6.02,5.77,7.43,8.93,10,2,40,25,34.28,-2.8,-0.276,10.33,1
10025,25,F,Computer Science,Bachelor,3,10.33,12.01,0,52,0,85.87,1,2,6.81,6.72,9.5,9.46,4,0,28,20,34.25,-0.94,-0.32,11.53,1
10025,25,F,Computer Science,Bachelor,4,11.53,11.89,0,67,2,78.81,5,2,6.76,5.33,8.64,7.76,6,3,26,17,21.17,-0.37,-0.473,12.51,0
10026,21,M,Accounting,Bachelor,1,14.28,14.28,1,13,0,89.82,3,4,8.85,5.0,10.31,9.13,6,2,21,18,22.12,-0.21,-0.529,11.8,1
10026,21,M,Accounting,Bachelor,2,11.8,13.04,0,41,0,82.56,6,4,8.09,5.41,10.44,10.65,4,0,8,14,22.67,-1.33,-0.344,12.1,0
10026,22,M,Accounting,Bachelor,3,12.1,12.72,1,52,0,99.2,0,3,8.06,5.0,9.17,7.6,6,1,22,12,12.6,-1.2,-0.418,13.92,0
10026,22,M,Accounting,Bachelor,4,13.92,13.02,0,72,0,90.92,4,2,11.38,10.06,12.06,12.11,6,0,27,21,26.79,1.34,-0.305,12.77,0
10027,25,F,Accounting,Bachelor,1,15.37,15.37,1,16,0,90.36,2,0,9.55,10.74,10.83,13.23,5,1,25,22,39.63,0.03,-0.461,14.03,0
10027,25,F,Accounting,Bachelor,2,14.03,14.7,0,40,0,84.01,6,3,9.43,8.07,11.48,10.38,6,2,25,20,27.26,-0.7,-0.445,12.23,0
10027,26,F,Accounting,Bachelor,3,12.23,13.88,0,48,0,83.75,4,5,7.78,7.07,10.23,10.27,9,1,29,24,33.67,-2.3,-0.37,12.75,0
10027,26,F,Accounting,Bachelor,4,12.75,13.59,0,65,0,89.01,2,1,11.79,10.43,13.09,14.42,8,1,26,25,39.62,-1.02,-0.09,14.23,0
10028,20,F,Information Technology,Bachelor,1,14.96,14.96,0,18,0,86.46,5,3,11.6,6.43,11.73,10.83,10,4,17,14,24.22,-0.72,-0.466,10.22,1
10028,20,F,Information Technology,Bachelor,2,10.22,12.59,0,36,1,89.32,3,3,6.67,5.02,6.75,9.1,10,3,24,21,21.16,-1.92,-0.331,11.18,1
10028,21,F,Information Technology,Bachelor,3,11.18,12.12,3,42,1,75.77,10,2,6.05,6.35,8.69,11.36,9,1,18,19,23.88,-0.96,-0.338,11.24,1
10028,21,F,Information Technology,Bachelor,4,11.24,11.9,1,72,0,85.17,5,3,5.49,5.0,7.44,7.07,10,2,32,22,27.6,-1.08,-0.476,9.93,1
10029,24,F,Industrial Engineering,Bachelor,1,14.65,14.65,1,13,2,74.99,8,3,10.03,5.84,9.34,11.81,10,3,12,13,25.42,-0.53,-0.489,12.66,0
10029,24,F,Industrial Engineering,Bachelor,2,12.66,13.66,1,30,1,84.83,5,2,9.13,7.33,11.65,11.71,4,3,24,17,15.97,-1.04,-0.302,12.99,0
10029,25,F,Industrial Engineering,Bachelor,3,12.99,13.44,0,54,3,76.27,7,1,8.57,5.99,8.93,11.72,7,3,31,22,29.03,-0.84,-0.487,11.92,1
10029,25,F,Industrial Engineering,Bachelor,4,11.92,13.06,0,70,0,86.53,2,2,7.88,5.45,11.23,10.51,6,0,23,17,22.75,-1.56,-0.284,13.72,0
10030,25,F,Accounting,Bachelor,1,15.24,15.24,0,18,0,84.63,6,2,12.03,7.98,11.69,12.76,8,0,24,21,36.79,-0.12,-0.437,12.79,0
10030,25,F,Accounting,Bachelor,2,12.79,14.01,1,34,0,77.9,5,3,7.87,5.0,11.32,11.11,5,0,18,17,34.2,-0.9,-0.447,10.48,1
10030,26,F,Accounting,Bachelor,3,10.48,12.84,1,50,0,86.09,4,2,7.61,5.74,9.17,9.45,9,0,22,16,30.06,-2.3,-0.28,10.71,1
10030,26,F,Accounting,Bachelor,4,10.71,12.3,0,68,0,86.24,3,4,8.32,7.11,10.0,8.7,9,2,19,20,28.51,-1.61,-0.22,12.6,0
10031,21,F,Management,Bachelor,1,15.33,15.33,1,16,0,84.43,8,4,11.74,8.35,10.83,11.89,9,3,20,17,21.08,-0.06,-0.417,11.82,1
10031,21,F,Management,Bachelor,2,11.82,13.58,0,34,1,94.3,1,3,9.23,5.59,9.21,9.55,5,1,23,15,16.3,-1.56,-0.317,14.05,0
10031,22,F,Management,Bachelor,3,14.05,13.73,1,51,0,71.84,8,4,7.66,5.0,10.58,11.0,7,4,22,16,21.0,-0.33,-0.56,12.71,0
10031,22,F,Management,Bachelor,4,12.71,13.48,1,71,0,72.24,11,6,10.13,9.3,10.0,12.12,8,2,17,9,18.92,-0.78,-0.29,10.65,1
10032,23,F,Accounting,Bachelor,1,13.71,13.71,3,13,1,60.82,10,1,5.0,5.12,10.55,9.51,7,3,11,12,17.87,-0.0,-0.71,11.09,1
10032,23,F,Accounting,Bachelor,2,11.09,12.4,2,35,0,70.86,10,2,5.0,5.0,8.9,5.73,6,3,13,15,18.48,-1.19,-0.514,10.36,1
10032,24,F,Accounting,Bachelor,3,10.36,11.72,0,52,1,69.74,9,3,5.0,5.0,5.0,7.26,8,4,10,8,9.63,-1.1,-0.498,12.66,0
10032,24,F,Accounting,Bachelor,4,12.66,11.96,2,64,0,77.02,6,5,5.79,5.0,8.1,8.78,6,2,16,11,13.67,0.89,-0.61,12.86,0
10033,20,M,Computer Science,Bachelor,1,16.18,16.18,0,14,0,87.33,4,3,13.56,9.38,15.31,14.81,8,3,32,24,39.04,0.27,-0.243,12.55,0
10033,20,M,Computer Science,Bachelor,2,12.55,14.36,0,33,0,80.43,6,2,10.11,9.29,10.1,9.38,8,2,22,17,14.94,-1.9,-0.246,11.65,1
10033,21,M,Computer Science,Bachelor,3,11.65,13.46,0,54,0,90.25,2,2,11.45,9.58,8.7,10.64,6,0,25,20,26.99,-1.74,-0.085,14.57,0
10033,21,M,Computer Science,Bachelor,4,14.57,13.74,0,68,0,75.42,7,5,11.57,10.35,11.93,12.17,10,3,39,26,40.8,0.84,-0.301,12.28,0
10034,21,F,Industrial Engineering,Bachelor,1,14.93,14.93,0,16,1,90.5,1,1,12.62,10.15,15.13,11.92,9,1,34,24,31.48,-0.32,-0.241,15.84,0
10034,21,F,Industrial Engineering,Bachelor,2,15.84,15.39,0,42,0,91.59,3,2,14.78,13.11,15.44,15.43,9,1,41,25,43.46,0.56,-0.087,14.91,0
10034,22,F,Industrial Engineering,Bachelor,3,14.91,15.23,0,50,0,89.34,6,2,15.56,13.6,15.27,14.91,5,3,26,20,34.86,-0.36,-0.007,15.05,0
10034,22,F,Industrial Engineering,Bachelor,4,15.05,15.18,0,67,0,86.49,4,2,11.66,9.26,12.27,13.3,5,0,19,20,30.54,-0.77,-0.349,14.55,0
10035,20,M,Industrial Engineering,Bachelor,1,11.57,11.57,1,12,3,82.66,2,2,5.47,5.0,7.08,7.47,10,2,18,15,17.23,0.14,-0.528,11.67,1
10035,20,M,Industrial Engineering,Bachelor,2,11.67,11.62,5,23,2,66.42,9,3,5.0,5.0,7.26,8.82,5,4,16,11,7.01,0.32,-0.585,10.31,1
10035,21,M,Industrial Engineering,Bachelor,3,10.31,11.18,0,50,1,87.74,3,3,6.6,5.23,7.37,6.95,8,4,5,11,16.66,-0.99,-0.382,10.91,1
10035,21,M,Industrial Engineering,Bachelor,4,10.91,11.12,0,67,2,72.19,8,2,5.0,5.0,7.71,7.12,9,3,17,13,20.15,-1.12,-0.513,10.43,1
10036,23,F,Information Technology,Bachelor,1,14.13,14.13,1,19,0,89.23,3,2,5.6,5.0,7.63,8.81,7,3,26,21,40.97,0.08,-0.822,11.92,1
10036,23,F,Information Technology,Bachelor,2,11.92,13.02,0,34,0,82.66,4,4,9.06,8.4,8.96,11.18,4,1,8,11,14.44,-0.68,-0.29,12.45,0
10036,24,F,Information Technology,Bachelor,3,12.45,12.83,1,54,2,81.55,4,4,7.29,7.37,10.89,10.09,8,4,19,17,29.09,-0.13,-0.355,12.57,0
10036,24,F,Information Technology,Bachelor,4,12.57,12.77,1,71,0,82.91,5,2,7.03,6.28,10.97,9.32,6,3,21,17,14.23,-0.65,-0.483,14.42,0
10037,19,F,Management,Bachelor,1,15.39,15.39,0,11,0,88.5,6,2,13.24,10.05,13.6,15.38,9,1,32,25,41.92,-0.24,-0.19,14.54,0
10037,19,F,Management,Bachelor,2,14.54,14.96,2,33,0,80.88,4,0,7.93,7.44,9.71,10.65,10,2,26,19,26.47,-1.37,-0.605,13.58,0
10037,20,F,Management,Bachelor,3,13.58,14.5,0,48,1,98.71,2,2,11.32,11.15,13.44,14.12,10,1,33,23,31.45,-1.04,-0.106,12.26,0
10037,20,F,Management,Bachelor,4,12.26,13.94,0,69,1,100.0,1,2,12.64,9.62,11.49,10.58,8,1,22,15,23.44,-1.78,-0.08,12.21,0
10038,24,F,Accounting,Bachelor,1,12.97,12.97,1,9,0,74.69,6,5,5.0,5.0,7.61,7.54,7,3,3,3,4.0,0.28,-0.661,10.3,1
10038,24,F,Accounting,Bachelor,2,10.3,11.63,1,31,3,88.38,1,2,6.46,5.0,5.0,8.67,10,3,6,10,23.53,-1.34,-0.36,10.49,1
10038,25,F,Accounting,Bachelor,3,10.49,11.25,1,45,0,78.74,6,2,5.3,5.0,5.57,5.75,10,2,13,7,10.42,-0.14,-0.518,13.0,0
10038,25,F,Accounting,Bachelor,4,13.0,11.69,1,65,0,80.5,6,5,8.06,6.8,8.38,8.39,8,5,3,5,9.41,1.88,-0.502,9.21,1
10039,18,M,Industrial Engineering,Bachelor,1,14.28,14.28,3,12,2,82.0,5,1,10.29,9.09,12.85,12.69,6,2,21,18,23.81,-0.24,-0.305,12.21,0
10039,18,M,Industrial Engineering,Bachelor,2,12.21,13.24,0,30,1,96.18,3,1,6.18,5.0,10.57,11.35,8,1,23,25,31.8,-1.18,-0.421,12.84,0
10039,19,M,Industrial Engineering,Bachelor,3,12.84,13.11,1,45,0,69.41,10,3,7.03,5.4,10.23,9.66,10,4,25,21,26.68,-0.14,-0.55,10.11,1
10039,19,M,Industrial Engineering,Bachelor,4,10.11,12.36,3,58,1,73.01,8,3,5.0,5.0,8.02,9.02,10,1,9,10,6.03,-2.0,-0.485,12.06,0
10040,20,M,Accounting,Bachelor,1,14.22,14.22,0,12,0,94.92,2,2,8.84,6.82,9.18,11.75,10,2,8,15,9.78,0.54,-0.564,13.84,0
